"Proben_ID_intern","sample_ID","date","depth","year","ARK_cruise_ID","cruise","station","latitude","longitude","Date_char","depth_water_ctd","pressure_dbar","temp_deg_c","conductivity_ms_cm","salinity","temp_pot_deg_c","sigma_theta_kg_m3","O2_mumol_l","O2_sat","attenuation_arbit","flurom_arbit","N_Obs"
"20150724048-71510","170509_0034_PS93-48-15m_S18",2015-07-24,15,2015,"ARK-XXIX/2.2","PS93",48,78.00599,5.0696667,"2015-07-24",14.8,15,6.7439,35.0629,35.0084,6.7425,27.461,316.6751,104.2559,4.2865,0.0478,20
"20150724048-73010","170509_0034_PS93-48-30m_S8",2015-07-24,30,2015,"ARK-XXIX/2.2","PS93",48,78.59907,5.0696667,"2015-07-24",29.7,30,6.2001,34.5931,35.0342,6.1975,27.5542,316.5635,102.9156,4.31,0.0463,18
"20150724048-75010","170509_0034_PS93-48-50m_S81",2015-07-24,50,2015,"ARK-XXIX/2.2","PS93",48,78.59907,5.0696667,"2015-07-24",49.5,50,5.0423,33.5774,35.0703,5.0384,27.7266,312.7897,98.9448,4.4756,0.031,19
"20150726050-71510","170509_0034_PS93-50-15m_S59",2015-07-26,15,2015,"ARK-XXIX/2.2","PS93",50,79.06518,4.1790167,"2015-07-26",14.8,15,6.8357,34.9485,34.788,6.8343,27.2747,329.6087,108.5907,3.8861,0.089,14
"20150726050-73010","170509_0034_PS93-50-30m_S49",2015-07-26,30,2015,"ARK-XXIX/2.2","PS93",50,79.06518,4.1790167,"2015-07-26",29.7,30,6.0241,34.4403,35.0437,6.0215,27.5845,317.5237,102.806,4.3923,0.0416,26
"20150726050-70510","170509_0034_PS93-50-5m_S70",2015-07-26,50,2015,"ARK-XXIX/2.2","PS93",50,79.06518,4.1790167,"2015-07-26",49.5,50,4.7038,33.2623,35.0606,4.7001,27.7579,316.6751,99.3513,4.4942,0.0292,17
"20150730058-81010","170509_0034_PS93-58-10m_S39",2015-07-30,10,2015,"ARK-XXIX/2.2","PS93",58,78.86148,-2.7093667,"2015-07-30",9.9,10,-0.3067,26.7498,32.2921,-0.307,25.9338,388.2562,105.2141,4.2368,0.0538,20
"20150730058-82010","170509_0034_PS93-58-20m_S29",2015-07-30,20,2015,"ARK-XXIX/2.2","PS93",58,78.86148,-2.7093667,"2015-07-30",19.8,20,-1.5931,26.7582,33.7101,-1.5935,27.1268,370.3966,97.8805,4.0593,0.1413,18
"20150730058-83010","170509_0034_PS93-58-30m_S19",2015-07-30,30,2015,"ARK-XXIX/2.2","PS93",58,78.86148,-2.7093667,"2015-07-30",29.7,30,-1.6446,26.8436,33.8809,-1.6452,27.267,348.2944,92.0184,4.5286,0.0324,19
"20150804064-41510","170509_0034_PS93-64-15m_S9",2015-08-04,15,2015,"ARK-XXIX/2.2","PS93",64,79.82133,4.2525,"2015-08-04",14.8,15,6.8589,34.806,34.607,6.8575,27.1288,334.5168,110.1377,4.1767,0.0388,16
"20150804064-42710","170509_0034_PS93-64-27m_S82",2015-08-04,27,2015,"ARK-XXIX/2.2","PS93",64,79.82133,4.2525,"2015-08-04",26.7,27,5.1913,33.3906,34.7105,5.1892,27.4236,333.3556,105.5789,4.0204,0.1148,23
"20150804064-44010","170509_0034_PS93-64-40m_S71",2015-08-04,40,2015,"ARK-XXIX/2.2","PS93",64,79.82133,4.2525,"2015-08-04",39.6,40,4.2681,32.6363,34.7909,4.2653,27.5917,315.6256,97.8024,4.4569,0.0337,15
"20150808074-21510","170509_0034_PS93-74-15m_S60",2015-08-08,15,2015,"ARK-XXIX/2.2","PS93",74,79.02977,6.9993167,"2015-08-08",14.8,15,7.2448,35.2569,34.7144,7.2434,27.1597,339.7777,112.9554,4.1787,0.0477,19
"20150808074-22710","170509_0034_PS93-74-27m_S50",2015-08-08,27,2015,"ARK-XXIX/2.2","PS93",74,79.02977,6.9993167,"2015-08-08",26.7,27,6.4389,34.6571,34.8621,6.4365,27.3868,351.0723,114.6487,3.5782,0.17,24
"20150808074-24010","170509_0034_PS93-74-40m_S40",2015-08-08,40,2015,"ARK-XXIX/2.2","PS93",74,79.02977,6.9993167,"2015-08-08",39.6,40,5.842,34.3041,35.0731,5.8386,27.6311,291.9826,94.1476,4.5219,0.0323,19
"20150810080-71010","170509_0034_PS93-80-10m_S30",2015-08-10,10,2015,"ARK-XXIX/2.2","PS93",80,79.133,6.1018333,"2015-08-10",9.9,10,6.0892,34.1246,34.6307,6.0884,27.2496,333.5745,107.8776,4.1587,0.0528,18
"20150810080-71810","170509_0034_PS93-80-18m_S20",2015-08-10,18,2015,"ARK-XXIX/2.2","PS93",80,79.133,6.1018333,"2015-08-10",17.8,18,1.523,29.7096,34.1638,1.5221,27.3374,360.558,103.8422,4.0267,0.0996,20
"20150810080-73210","170509_0034_PS93-80-32m_S10",2015-08-10,32,2015,"ARK-XXIX/2.2","PS93",80,79.133,6.1018333,"2015-08-10",31.7,32,1.1175,29.5234,34.3619,1.1161,27.5247,335.6512,95.787,4.4314,0.0491,25
"20150812086-21510","170509_0034_PS93-86-15m_S83",2015-08-12,15,2015,"ARK-XXIX/2.2","PS93",86,79.13383,2.8421667,"2015-08-12",14.8,15,5.3203,33.093,34.2412,5.3191,27.0364,353.3187,111.903,4.257,0.0437,17
"20150812086-22510","170509_0034_PS93-86-25m_S72",2015-08-12,25,2015,"ARK-XXIX/2.2","PS93",86,79.13383,2.8421667,"2015-08-12",24.7,25,5.315,33.4113,34.6071,5.313,27.327,335.0125,106.347,4.2239,0.0671,17
"20150812086-25010","170509_0034_PS93-86-50m_S61",2015-08-12,50,2015,"ARK-XXIX/2.2","PS93",86,79.13383,2.8421667,"2015-08-12",49.5,50,4.7774,33.2051,34.9161,4.7736,27.6349,309.7796,97.2687,4.489,0.0343,12
"140615-418-25-10","170620_0037_418-25m_S58",2014-06-15,25,2014,"ARK-XXVIII/2","PS85",418,77.38833333,-16.305,"2014-06-15",24.7,25,-1.5802,25.5862,32.073,-1.5806,25.7967,393.4769,102.8464,4.1282,0.1238,21
"140615-418-50-10","170620_0037_418-50m_S59",2014-06-15,50,2014,"ARK-XXVIII/2","PS85",418,77.38833333,-16.305,"2014-06-15",49.5,50,-1.7048,25.563,32.1606,-1.7056,25.8705,376.1488,98.0396,4.5639,0.0312,22
"140615-418-05-10","170620_0037_418-5m_S57",2014-06-15,5,2014,"ARK-XXVIII/2","PS85",418,77.38833333,-16.305,"2014-06-15",4.9,5,0.0392,26.39,31.4584,0.0391,25.2462,387.2111,105.3049,4.4112,0.0293,20
"140615-424-20-10","170620_0037_424-20m_S61",2014-06-15,20,2014,"ARK-XXVIII/2","PS85",424,77.9446667,-14.28276667,"2014-06-15",19.8,20,-1.5773,25.3168,31.7021,-1.5776,25.4954,383.424,99.9702,4.455,0.0425,22
"140615-424-45-10","170620_0037_424-45m_S62",2014-06-15,45,2014,"ARK-XXVIII/2","PS85",424,77.9446667,-14.28276667,"2014-06-15",44.5,45,-1.7137,25.4498,32.0168,-1.7144,25.7538,372.1339,96.873,4.6204,0.0231,26
"140615-424-05-10","170620_0037_424-5m_S60",2014-06-15,5,2014,"ARK-XXVIII/2","PS85",424,77.9446667,-14.28276667,"2014-06-15",4.9,5,-0.4344,26.0291,31.4714,-0.4345,25.2756,381.7313,102.5134,4.4085,0.0272,17
"140616-426-25-10","170620_0037_426-25m_S64",2014-06-16,25,2014,"ARK-XXVIII/2","PS85",426,78.80556667,-9.92833333,"2014-06-16",24.7,25,-1.6143,25.4656,31.9436,-1.6147,25.6923,375.4209,97.9472,4.5506,0.0277,23
